,title,link,POI_ID,like,location,price,country,style,review,bookmark,discount,point,loc,latitude,longitude
89,西川風味餐廳 Sai Chuen Cuisine,www.openrice.com/zh/hongkong/r-%E8%A5%BF%E5%B7%9D%E9%A2%A8%E5%91%B3%E9%A4%90%E5%BB%B3-%E6%85%88%E9%9B%B2%E5%B1%B1-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r107097,107097,17.0,慈雲山毓華里18號慈華商場地下2-3號,$101-200,川菜 (四川),火鍋,(25 食評),597,,"(22.3467182, 114.2021637, 0.0)","Hong Kong, 慈雲山毓華里18號慈華商場地下2-3號",22.3467182,114.2021637
92,米線陣 Mixian Sense,www.openrice.com/zh/hongkong/r-%E7%B1%B3%E7%B7%9A%E9%99%A3-%E6%85%88%E9%9B%B2%E5%B1%B1-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r559508,559508,2.0,慈雲山毓華街23號慈雲山中心5樓561-562號舖,$50以下,滇菜 (雲南),川菜 (四川),(5 食評),38,,"(22.348177, 114.200586, 0.0)","Hong Kong, 慈雲山毓華街23號慈雲山中心5樓524-527號舖",22.348177,114.200586
98,窩心小廚,www.openrice.com/zh/hongkong/r-%E7%AA%A9%E5%BF%83%E5%B0%8F%E5%BB%9A-%E6%85%88%E9%9B%B2%E5%B1%B1-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E9%9B%9E%E7%85%B2-r556982,556982,,慈雲山蒲田里5號慈樂大廈地下,$50以下,粵菜 (廣東),川菜 (四川),(2 食評),34,,"(22.3463808, 114.2015499, 0.0)","Chee Lok Building, 1-7 Po Tin Ln, Tsz Wan Shan, Hong Kong",22.3463808,114.2015499
178,鍋沁小廚 Heart Kitchen,www.openrice.com/zh/hongkong/r-%E9%8D%8B%E6%B2%81%E5%B0%8F%E5%BB%9A-%E5%BD%A9%E8%99%B9-%E6%B8%AF%E5%BC%8F-r493422,493422,6.0,彩虹金池徑4號地下,$101-200,川菜 (四川),中菜館,(7 食評),132,,"(22.3356599, 114.2080706, 0.0)","Hong Kong, 彩虹 牛池灣貴池徑四號地下",22.3356599,114.2080706
192,表姐紅薯粉 Cousin Noodles,www.openrice.com/zh/hongkong/r-%E8%A1%A8%E5%A7%90%E7%B4%85%E8%96%AF%E7%B2%89-%E5%BD%A9%E8%99%B9-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r530768,530768,,彩虹清水灣道45號彩雲街市地下35號舖,$50以下,川菜 (四川),粉麵/米線,,20,,"(22.3333884, 114.2154066, 0.0)","Hong Kong, 牛池灣清水灣道45號彩雲商場二期2樓A209 舖",22.3333884,114.2154066
417,漁牧 Fisher & Farmer,www.openrice.com/zh/hongkong/r-%E6%BC%81%E7%89%A7-%E4%B9%9D%E9%BE%8D%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E9%9B%9E%E7%85%B2-r586152,586152,3.0,九龍灣宏照道38號企業廣場5期Megabox13樓5號舖,$101-200,川菜 (四川),火鍋,(12 食評),394,,"(22.319717, 114.2087206, 0.0)","Hong Kong, Kowloon Bay, Wang Chiu Rd, 38號7樓1號舖企業廣場5期, MegaBox",22.319717,114.2087206
432,家家好外賣店 Joyful Food-To-Go,www.openrice.com/zh/hongkong/r-%E5%AE%B6%E5%AE%B6%E5%A5%BD%E5%A4%96%E8%B3%A3%E5%BA%97-%E4%B9%9D%E9%BE%8D%E7%81%A3-%E6%B8%AF%E5%BC%8F-%E5%92%96%E5%96%B1-r535853,535853,2.0,九龍灣宏泰道12號榮發工業大廈地下4A2鋪,$50以下,川菜 (四川),粉麵/米線,(3 食評),50,,"(22.3232256, 114.209193, 0.0)","Hong Kong, Kowloon Bay, 九龍灣宏泰道12號榮發工業大廈4A2號鋪",22.3232256,114.209193
438,川味雞米線大王 Monster Spicy,www.openrice.com/zh/hongkong/r-%E5%B7%9D%E5%91%B3%E9%9B%9E%E7%B1%B3%E7%B7%9A%E5%A4%A7%E7%8E%8B-%E4%B9%9D%E9%BE%8D%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r549368,549368,1.0,九龍灣啟業道18號啟業商場地下啟業市場31-33號舖,$50以下,川菜 (四川),粉麵/米線,(4 食評),75,,"(22.32911, 114.209894, 0.0)","啟業商場地下, 18號 Kai Yip Rd, Kowloon Bay, Hong Kong",22.32911,114.209894
442,麻醉館 Spicy House,www.openrice.com/zh/hongkong/r-%E9%BA%BB%E9%86%89%E9%A4%A8-%E4%B9%9D%E9%BE%8D%E7%81%A3-%E6%BD%AE%E5%B7%9E%E8%8F%9C-%E4%B8%B2%E7%87%92-r484602,484602,2.0,九龍灣啟業邨2號熟食亭,$51-100,潮州菜,川菜 (四川),(5 食評),184,,"(22.3289139, 114.2096074, 0.0)","Hong Kong, 九龍灣啟業村啟業街2號熟食亭",22.3289139,114.2096074
789,聚賢莊川香農家菜 JU XIAN ZHUAN,www.openrice.com/zh/hongkong/r-%E8%81%9A%E8%B3%A2%E8%8E%8A%E5%B7%9D%E9%A6%99%E8%BE%B2%E5%AE%B6%E8%8F%9C-%E7%89%9B%E9%A0%AD%E8%A7%92-%E8%BE%B2%E5%AE%B6%E8%8F%9C-r178376,178376,10.0,牛頭角宜安街15號地下,$51-100,川菜 (四川),農家菜,(19 食評),651,,"(22.3154856, 114.2221482, 0.0)","號地下, 15 Yee On St, Ngau Tau Kok, Hong Kong",22.3154856,114.2221482
792,麻辣串串香,www.openrice.com/zh/hongkong/r-%E9%BA%BB%E8%BE%A3%E4%B8%B2%E4%B8%B2%E9%A6%99-%E7%89%9B%E9%A0%AD%E8%A7%92-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r474422,474422,9.0,牛頭角牛頭角道3號得寶商場地下FC04號舖,$51-100,川菜 (四川),粉麵/米線,(17 食評),345,,"(22.326827, 114.214514, 0.0)","Hong Kong, Ngau Tau Kok, 道 3 號 得 寶 商場 地下 121 號 舖",22.326827,114.214514
793,正品雞煲點心專門店,www.openrice.com/zh/hongkong/r-%E6%AD%A3%E5%93%81%E9%9B%9E%E7%85%B2%E9%BB%9E%E5%BF%83%E5%B0%88%E9%96%80%E5%BA%97-%E7%89%9B%E9%A0%AD%E8%A7%92-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E9%9B%9E%E7%85%B2-r161406,161406,8.0,牛頭角牛頭角道33號宏光樓12號地舖,$51-100,粵菜 (廣東),川菜 (四川),(11 食評),342,,"(22.3256895, 114.2150101, 0.0)","號 12 號 地舖, Wang Kwong Building, 33 Ngau Tau Kok Rd, Kowloon Bay, Hong Kong",22.3256895,114.2150101
808,進寶食品,www.openrice.com/zh/hongkong/r-%E9%80%B2%E5%AF%B6%E9%A3%9F%E5%93%81-%E7%89%9B%E9%A0%AD%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E9%9B%9E%E7%85%B2-r479803,479803,1.0,牛頭角振華道20號安基苑商場1樓125號舖,$51-100,川菜 (四川),火鍋,(1 食評),87,,"(22.3223484, 114.2172841, 0.0)","牛 頭角 振 華 道 20 號 安 基 商場 1 樓 125 號, Hong Kong",22.3223484,114.2172841
1110,尚素 The Veggie,www.openrice.com/zh/hongkong/r-%E5%B0%9A%E7%B4%A0-%E8%A7%80%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B4%A0%E9%A3%9F-r501681,501681,199.0,觀塘駿業街56號中海日升中心1樓B舖,$101-200,粵菜 (廣東),川菜 (四川),(246 食評),8647,送 25里數 / 30積分,"(22.3110694, 114.2228123, 0.0)","Hong Kong, 觀塘駿業街56號中海日升中心1樓B舖",22.3110694,114.2228123
1126,爺爺雞煲皇,www.openrice.com/zh/hongkong/r-%E7%88%BA%E7%88%BA%E9%9B%9E%E7%85%B2%E7%9A%87-%E8%A7%80%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E9%9B%9E%E7%85%B2-r471837,471837,44.0,觀塘瑞和街45-47號地舖,$101-200,川菜 (四川),火鍋,(53 食評),1889,,"(22.3157449, 114.2252104, 0.0)","號地舖, 45 Shui Wo St, Kwun Tong, Hong Kong",22.3157449,114.2252104
1128,又一川,www.openrice.com/zh/hongkong/r-%E5%8F%88%E4%B8%80%E5%B7%9D-%E8%A7%80%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r49933,49933,45.0,觀塘宜安街25號地下,$50以下,川菜 (四川),粉麵/米線,(79 食評),1850,,"(22.3155004, 114.2223379, 0.0)","號地下, 25 Yee On St, Ngau Tau Kok, Hong Kong",22.3155004,114.2223379
1146,味力HK Taste Of HK,www.openrice.com/zh/hongkong/r-%E5%91%B3%E5%8A%9Bhk-%E8%A7%80%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r562096,562096,14.0,觀塘駿業街56號中海日升中心地下D-G舖,$50以下,粵菜 (廣東),川菜 (四川),(18 食評),481,,"(22.3109515, 114.2227056, 0.0)","Hong Kong, Kwun Tong, 駿業街56號中海日升中心1E",22.3109515,114.2227056
1154,米線陣 Mixian Sense,www.openrice.com/zh/hongkong/r-%E7%B1%B3%E7%B7%9A%E9%99%A3-%E8%A7%80%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r538865,538865,13.0,觀塘開源道79號鱷魚恤中心1樓8號舖,$50以下,滇菜 (雲南),川菜 (四川),(51 食評),328,,"(22.3115792, 114.2257569, 0.0)","8, 鱷魚恤中心, 79 Hoi Yuen Rd, Kwun Tong, Hong Kong",22.3115792,114.2257569
1162,傷心酸辣粉,www.openrice.com/zh/hongkong/r-%E5%82%B7%E5%BF%83%E9%85%B8%E8%BE%A3%E7%B2%89-%E8%A7%80%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r74172,74172,12.0,觀塘康寧道42號地下舖,$50以下,川菜 (四川),粉麵/米線,(28 食評),378,,"(22.315287, 114.223796, 0.0)","號地下舖, 42 Hong Ning Rd, Kwun Tong, Hong Kong",22.315287,114.223796
1174,川味坊,www.openrice.com/zh/hongkong/r-%E5%B7%9D%E5%91%B3%E5%9D%8A-%E8%A7%80%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r570487,570487,6.0,觀塘駿業街56號海日升中心地下C號舖,$50以下,川菜 (四川),滬菜 (上海),(8 食評),79,,"(22.3109515, 114.2227056, 0.0)","Hong Kong, Kwun Tong, 駿業街56號中海日升中心1E",22.3109515,114.2227056
1175,馬姐重慶麻辣燙(老字號),www.openrice.com/zh/hongkong/r-%E9%A6%AC%E5%A7%90%E9%87%8D%E6%85%B6%E9%BA%BB%E8%BE%A3%E7%87%99-%E8%80%81%E5%AD%97%E8%99%9F-%E8%A7%80%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r440263,440263,8.0,觀塘通明街7號地下G層,$50以下,川菜 (四川),粉麵/米線,(29 食評),661,,"(22.315026, 114.222902, 0.0)","號地下G層, 7 Tung Ming St, Ngau Tau Kok, Hong Kong",22.315026,114.222902
1194,鴻圖樓 Hung To Restaurant,www.openrice.com/zh/hongkong/r-%E9%B4%BB%E5%9C%96%E6%A8%93-%E8%A7%80%E5%A1%98-%E6%B8%AF%E5%BC%8F-r50507,50507,5.0,觀塘香港九龍觀塘鴻圖道30號1至2樓,$51-100,川菜 (四川),酒樓,(18 食評),304,,"(22.3125205, 114.2199752, 0.0)","2, 30 Hung To Rd, Kwun Tong, Hong Kong",22.3125205,114.2199752
1224,惹味川 Yummy Chuan,www.openrice.com/zh/hongkong/r-%E6%83%B9%E5%91%B3%E5%B7%9D-%E8%A7%80%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r583585,583585,2.0,觀塘駿業街56號中海日升中心1樓C舖,$50以下,粵菜 (廣東),川菜 (四川),(7 食評),51,,"(22.3110694, 114.2228123, 0.0)","Hong Kong, 觀塘駿業街56號中海日升中心1樓B舖",22.3110694,114.2228123
1245,川味港,www.openrice.com/zh/hongkong/r-%E5%B7%9D%E5%91%B3%E6%B8%AF-%E8%A7%80%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r570466,570466,,觀塘成業街11-13號華成工商中心14樓1404號舖,$201-400,川菜 (四川),私房菜,,78,,"(22.3106748, 114.2265579, 0.0)","Wah Shing Centre, 11 Shing Yip St, Kwun Tong, Hong Kong",22.3106748,114.2265579
1268,湘川閣,www.openrice.com/zh/hongkong/r-%E6%B9%98%E5%B7%9D%E9%96%A3-%E8%A7%80%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r564108,564108,3.0,觀塘宜安街4號地下M號舖,$101-200,川菜 (四川),湘菜 (湖南),(7 食評),194,,"(22.3153315, 114.2219058, 0.0)","地下M號舖, 4a Yee On St, Ngau Tau Kok, Hong Kong",22.3153315,114.2219058
1298,和味小廚,www.openrice.com/zh/hongkong/r-%E5%92%8C%E5%91%B3%E5%B0%8F%E5%BB%9A-%E8%A7%80%E5%A1%98-%E6%B8%AF%E5%BC%8F-r474583,474583,,觀塘翠屏邨街市2樓A101號舖,$50以下,川菜 (四川),港式,,20,,"(22.3161131, 114.2298049, 0.0)","Hong Kong, 觀塘翠屏邨街市122號舖",22.3161131,114.2298049
1953,蜀府川鍋,www.openrice.com/zh/hongkong/r-%E8%9C%80%E5%BA%9C%E5%B7%9D%E9%8D%8B-%E6%B2%B9%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r108611,108611,223.0,油塘四山街2號油塘工業大廈3座地下,$101-200,川菜 (四川),火鍋,(253 食評),3412,送 25里數 / 30積分,"(22.2954027, 114.2377031, 0.0)","Yau Tong Industrial Building Block 3, 2 Sze Shan St, Yau Tong, Hong Kong",22.2954027,114.2377031
1970,燒邦 Sau Boud,www.openrice.com/zh/hongkong/r-%E7%87%92%E9%82%A6-%E6%B2%B9%E5%A1%98-%E6%B8%AF%E5%BC%8F-%E4%B8%B2%E7%87%92-r56245,56245,8.0,油塘嘉榮街2-4號油塘中心嘉華商場B173號舖,$51-100,川菜 (四川),串燒,(12 食評),429,,"(22.2953124, 114.2386615, 0.0)","Hong Kong, Yau Tong 嘉榮街2-4號油塘中心嘉華商場B173號舖",22.2953124,114.2386615
1979,川滬客棧 Shanghai & Szechuen Cuisine,www.openrice.com/zh/hongkong/r-%E5%B7%9D%E6%BB%AC%E5%AE%A2%E6%A3%A7-%E6%B2%B9%E5%A1%98-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E6%B9%AF%E5%93%81-r521015,521015,1.0,油塘高超道38號大本型3樓308-312號舖,$50以下,川菜 (四川),滬菜 (上海),(1 食評),11,,"(22.2966559, 114.2385472, 0.0)","Hong Kong, Yau Tong 高超道38號大本型3樓308-312號鋪",22.2966559,114.2385472
2310,彩興來來火鍋 Choi Hing Lor Lor Hot Pot,www.openrice.com/zh/hongkong/r-%E5%BD%A9%E8%88%88%E4%BE%86%E4%BE%86%E7%81%AB%E9%8D%8B-%E5%B0%87%E8%BB%8D%E6%BE%B3-%E6%B8%AF%E5%BC%8F-%E9%9B%9E%E7%85%B2-r538005,538005,108.0,將軍澳唐賢街帝景灣商場1樓34-35號舖,$101-200,川菜 (四川),火鍋,(123 食評),1002,,"(22.3036744, 114.2599341, 0.0)","33 Tong Yin St, Tseung Kwan O, Hong Kong",22.3036744,114.2599341
2312,巴希雅海灣重慶燒烤 Bahia Restaurant Chung King BBQ,www.openrice.com/zh/hongkong/r-%E5%B7%B4%E5%B8%8C%E9%9B%85%E6%B5%B7%E7%81%A3%E9%87%8D%E6%85%B6%E7%87%92%E7%83%A4-%E5%A4%A7%E5%9F%94-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E8%87%AA%E5%8A%A9%E9%A4%90-r46984,46984,140.0,大埔汀角路龍尾村101號,$101-200,川菜 (四川),自助餐,(206 食評),9240,,"(22.4722602, 114.2285509, 0.0)","101 Ting Kok Rd, Ting Kok, Hong Kong",22.4722602,114.2285509
2313,稻成小館 Dab-pa Peking & Szechuan Bistro,www.openrice.com/zh/hongkong/r-%E7%A8%BB%E6%88%90%E5%B0%8F%E9%A4%A8-%E5%B1%AF%E9%96%80-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r495126,495126,76.0,屯門屯隆街3號屯門市廣場一期2樓2162號舖,$101-200,川菜 (四川),京菜 (官府菜),(113 食評),2035,訂座享二人套餐半價優惠 (原價$680減至$340),"(22.3929112, 113.9767599, 0.0)","Hong Kong, 屯門屯隆街3號屯門市廣場一期2樓2255號舖",22.3929112,113.9767599
2314,富臨薈 FL Fusion,www.openrice.com/zh/hongkong/r-%E5%AF%8C%E8%87%A8%E8%96%88-%E6%B2%99%E7%94%B0-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r547363,547363,114.0,沙田正街11-17號偉華中心2樓9A-9B舖,$101-200,粵菜 (廣東),川菜 (四川),(152 食評),2405,,"(22.3808516, 114.1869811, 0.0)","9A-9B, Wai Wah Centre Block 2, 11-17 Sha Tin Centre St, Sha Tin, Hong Kong",22.3808516,114.1869811
2324,汀汀烤活魚,www.openrice.com/zh/hongkong/r-%E6%B1%80%E6%B1%80%E7%83%A4%E6%B4%BB%E9%AD%9A-%E8%8D%83%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E9%9B%9E%E7%85%B2-r134923,134923,86.0,荃灣三坡坊22號地下,$51-100,川菜 (四川),火鍋,(111 食評),2767,送 25里數 / 30積分,"(22.3686946, 114.1165972, 0.0)","號地下, 22 Sam Pei Square, Tsuen Wan, Hong Kong",22.3686946,114.1165972
2325,麻痺雞,www.openrice.com/zh/hongkong/r-%E9%BA%BB%E7%97%BA%E9%9B%9E-%E5%A4%A7%E5%9F%94-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E9%9B%9E%E7%85%B2-r116820,116820,66.0,大埔仁興街59號地下,$101-200,川菜 (四川),火鍋,(77 食評),1508,,"(22.4496234, 114.164021, 0.0)","號地下, 59 Yan Hing St, Tai Po, Hong Kong",22.4496234,114.164021
2340,麻辣川米線 Smart Rice Noodles,www.openrice.com/zh/hongkong/r-%E9%BA%BB%E8%BE%A3%E5%B7%9D%E7%B1%B3%E7%B7%9A-%E8%91%B5%E8%8A%B3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r479050,479050,57.0,葵芳信芳街36號豪勝閣地下E號舖,$50以下,川菜 (四川),粉麵/米線,(80 食評),3274,,"(22.359794, 114.1265858, 0.0)","Hong Kong, Kwai Chung, Shun Fong St, 36號Shop E,",22.359794,114.1265858
2342,佐料佑麵,www.openrice.com/zh/hongkong/r-%E4%BD%90%E6%96%99%E4%BD%91%E9%BA%B5-%E5%85%83%E6%9C%97-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r493128,493128,49.0,元朗大棠路48-72號安福大樓地下64號鋪,$50以下,川菜 (四川),粉麵/米線,(77 食評),3361,,"(22.4421115, 114.0288845, 0.0)","號 安福 大樓 地下 64 號 鋪, On Fook Building, 48-72 Tai Tong Rd, Yuen Long, Hong Kong",22.4421115,114.0288845
2343,川味雞烤魚大王 Monster Spicy,www.openrice.com/zh/hongkong/r-%E5%B7%9D%E5%91%B3%E9%9B%9E%E7%83%A4%E9%AD%9A%E5%A4%A7%E7%8E%8B-%E8%8D%83%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r128946,128946,94.0,荃灣大河道91號天保大廈地下F1號舖,$101-200,川菜 (四川),火鍋,(114 食評),3239,,"(22.3711468, 114.1150224, 0.0)","Hong Kong, 荃灣 大河道91號天保大廈地下F1號舖",22.3711468,114.1150224
2346,八一蕃巴蜀烤魚店 Yaichi Ban Bashu Grill Shop,www.openrice.com/zh/hongkong/r-%E5%85%AB%E4%B8%80%E8%95%83%E5%B7%B4%E8%9C%80%E7%83%A4%E9%AD%9A%E5%BA%97-%E8%8D%83%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r50632,50632,72.0,荃灣鱟地坊48至68號祐建樓地下D舖,$101-200,川菜 (四川),火鍋,(89 食評),1920,,"(22.371054, 114.115455, 0.0)","G/F , No.58 , Hau Tei Square, Tsuen Wan, Hong Kong",22.371054,114.115455
2352,麻辣串串香,www.openrice.com/zh/hongkong/r-%E9%BA%BB%E8%BE%A3%E4%B8%B2%E4%B8%B2%E9%A6%99-%E8%8D%83%E7%81%A3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r173706,173706,53.0,荃灣河背街84號地下A1舖,$51-100,川菜 (四川),粉麵/米線,(69 食評),2123,,"(22.3679637, 114.1167984, 0.0)","Harmony Garden Block 1, 89 Ham Tin St, Tsuen Wan, Hong Kong",22.3679637,114.1167984
2358,湘川滬 China Land Restaurant,www.openrice.com/zh/hongkong/r-%E6%B9%98%E5%B7%9D%E6%BB%AC-%E7%B2%89%E5%B6%BA-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-r541213,541213,45.0,粉嶺新運路33號粉嶺中心1樓212A號舖,$101-200,川菜 (四川),滬菜 (上海),(58 食評),542,,"(22.4909332, 114.1406664, 0.0)","33號 San Wan Rd, Fanling, Hong Kong",22.4909332,114.1406664
2363,烤魚工房 How Fish Gong Fang,www.openrice.com/zh/hongkong/r-%E7%83%A4%E9%AD%9A%E5%B7%A5%E6%88%BF-%E5%85%83%E6%9C%97-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r581393,581393,44.0,元朗教育路37號南天大厦地下8-9號舖,$101-200,川菜 (四川),火鍋,(49 食評),639,,"(22.4428335, 114.0262916, 0.0)","25 Kau Yuk Rd, Yuen Long, Hong Kong",22.4428335,114.0262916
2375,百味川 Pak Mei House,www.openrice.com/zh/hongkong/r-%E7%99%BE%E5%91%B3%E5%B7%9D-%E8%91%B5%E8%8A%B3-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%B2%89%E9%BA%B5-%E7%B1%B3%E7%B7%9A-r530241,530241,40.0,葵芳葵富路7號葵涌廣場地下A39號舖,$50以下,川菜 (四川),粉麵/米線,(57 食評),431,,"(22.3584385, 114.1274926, 0.0)","Hong Kong, Kwai Fong, Kwai Foo Rd, 7-11號, Kwai Chung Plaza, 地下A76B 舖7 號 號",22.3584385,114.1274926
